name;email
Техноmagazine журнал;ad@t-magazine.ru  info@vertex-awp.ru  
Волжская новь газета;volga_nov@mail.ru  
Люберецкая панорама газета;rhans@mail.ru  lubpan-reklama@mail.ru  lp-podpiska@yandex.ru  elvolkova@inbox.ru  radiolub@mail.ru  
Аргументы и Факты газета;chel.aif@mail.ru  
Премьер газета;gazeta-premier@mail.ru  
ИЗВЕСТИЯ Марий Эл газета;izvestiya@list.ru  
Человек дела журнал;site@chiefrus.com  pr@chiefrus.com  info@chiefrus.com  
National Business журнал;olgabraun1@yandex.ru  info@businessrost.ru  biznesrost2016@yandex.ru  
Сургут экспресс газета;info@510710.com  
Dziennik Kijowski газета;mailto@dk.com.ua  ;
Московская Правда газета;newspaper@mospravda.ru  moskovskaya.pravda@yandex.ru  contact@mospravda.ru  
Борона электронный журнал о сельском хозяйстве;borona@borona.net  
АкадемLife журнал;academlife@mail.ru  sds.academpark@gmail.com  
Деловой квартал журнал;newsdk@ria-express.com  glavred@ria-express.com  chanchikova@ria-express.com  emeleva@ria-express.com  
Благоварские Вести газета;help@rbsmi.ru  
Налоговый вестник журнал;info@nalvest.ru  alex@nalvest.ru  egor@nalvest.ru  ebukach@nalvest.ru  buh@nalvest.ru  
Известия КГАСУ журнал;faleev@mail.ru  
Кто есть кто на пищевом и аграрном рынке России журнал;mail@meatmaker.com  meatmaker80@gmail.com  
Калининградские дома журнал;manager@kdoma.ru  
Ульяновск сегодня газета;media-today@my.com  
Дальневосточный Капитал журнал;kapital@zrpress.ru  
Купи Продай Сочи газета;aikuvshinov@mail.ru  kpsochi@bk.ru  
Вестник ТЭК информационно-аналитический бюллетень;info@oilgaslaw.ru  lena@rosibalt.ru  
ЛПК Сибири журнал;ra@vestsnab.ru  smirnov@vestsnab.ru  info@lpk-sibiri.ru  tehnocomspb@tehnocom.net  sumarokov.alexander@yandex.ru  
Она+ газета;onaplus@sakhanet.ru  ona-rec@sakhanet.ru  ona-rec@yandex.ru  
Совершенно секретно газета;sovsek@sovsek.com  savushkina@sovsekret.ru  
Авант-ПАРТНЁР газета;editor@avant-partner.ru  
Черногорский рабочий газета;chrgazeta@yandex.ru  
Le Courrier de Russie газета;pub@lcdr.ru  contact@nvm-publishing.com  
Арт Электроникс интернет-журнал;post@artelectronics.ru  
PROvita медико-фармацевтический вестник;admin@website.ru  premiya@zolotayastupka.ru  
Russian Journal of Herpetology журнал;nananjeva09@gmail.com  dotrongdang@gmail.com  ngodacchung1153@gmail.com  nqt2@yahoo.com  azemiops@zin.ru  
Общественное мнение общественно-политический журнал;om-redactor@yandex.ru  
Что делать? общественно-политическая газета;melnikova.d.i@gmail.com  
Шахри Чаллы газета;shahri_chally@mail.ru  onkurs.suvenir@yandex.ru  
Studies on Russian Economic Development журнал;compmg@maik.ru  customerservice@springer.com  subscriptions@springer.com  vvivanter@ecfor.ru  ksenofontov@ecfor.ru  
Защита информации журнал;podpiska@inside-zi.ru  congress@rucio.ru  magazine@inside-zi.ru  webmaster@inside-zi.ru  
Царскосельская газета;support@pushkin.ru  eizs13@gmail.com  kafeoasis@mail.ru  
Крестьянская жизнь газета;kzh34@yandex.ru  
Yacht Russia журнал;9241763@inbox.ru  centerrid@mail.ru  info@spibs.ru  dm@mby.ru  ac@mby.ru  
Эль Маэстро редакция;info@ottobredesign.ru  sales@ottobredesign.ru  reklama@ottobredesign.ru  
Организация и проведение СВАДЬБЫ журнал;izdatelstvoez@gmail.com  marzayka@gmail.com  
Ватандаш журнал;vatandash@ufanet.ru  
Южные горизонты газета;email@example.com  ug@vm.ru  ;
Комсомольская правда газета;red@kpmk.ru  kp@kp.ru  
Горная Промышленность журнал;gornprom@msmu.ru  eanistratova@mining-media.ru  eanistratova@msmu.ru  info@mining-media.ru  prof-npi@yandex.ru  
КомпьютерПресс интернет-журнал;webmaster@compress.ru  
ВЕКО журнал;veko@veko.ru  
Рекламный гид Оренбуржья газета;e9020@yandex.ru  m9030@yandex.ru  
Первомайский вестник газета;vestnikpv@yandex.ru  
Пятница газета;info@newsko.ru  
Архив патологии журнал;info@mediasphera.ru  istoresupport@mediasphera.ru  
Мурманский вестник газета;post@mvestnik.ru  reklama@mvestnik.ru  ankazajch@mail.ru  podpiska@mvestnik.ru  law777@fguzmo.ru  
Петербургский Зоокурьер газета;editor@zoocourier.ru  
Чистые помещения и технологические среды журнал;editor@vialek.ru  
Все Для Вас газета объявлений и рекламы;info@vdv40.ru  vdv@kaluga.ru  support@vdv40.ru  
Дом плюс журнал;domplus@bk.ru  
Вслух.ру интернет-газета;liza@vsluh.ru  edit@vsluh.ru  anna@vsluh.ru  kushnir@vsluh.ru  
Вестник НовГУ журнал;pk@novsu.ru  svetlana.matveeva@novsu.ru  maria.osina@novsu.ru  anzhelika.druzhinina@novsu.ru  novgu-basket@mail.ru  
Огни Кузбасса журнал;eranov@ognikuzbassa.ru  
Уфимский перекресток газета;perekrestok-ufa@mail.ru  
Аргументы и Факты в Кузбассе газета;karaul@aif.ru  
Сурские просторы газета;surskie@yandex.ru  
Кто есть кто в Байкальском регионе журнал;info@kto-irkutsk.ru  ;
Ferra.ru интернет-журнал;ir@ferra.ru  info@computeruniverse.ru  d.kukushkin@rambler-co.ru  info@ferra.ru  news@ferra.ru  
Фармацевтический вестник газета;marketing@farmamedspb.ru  vdoilnitsyna@oct-clinicaltrials.com  info@oct-clinicaltrials.com  moscow@oct-clinicaltrials.com  info@worldmedicinegroup.com  
ТВ-программа газета;referent@westpress.ru  ;
Туганайлар газета;tuganaylar@yandex.ru  
Воскресенье. Советский Союз. журнал;kvadrat.msk@mail.ru  
Орехово-Зуевская правда газета;ozp_gazeta@mail.ru  selena_oz@mail.ru  mariya.conovalova@gmail.com  businessmo@mosreg.ru  infoozmr@mosreg.ru  
Кабардино-Балкарская Правда газета;kbpravda@mail.ru  
Северный край Ярославский регион газета;volontery.pobedy76_region@mail.ru  
Сценарии и репертуар журнал;egorishsha@mail.ru  
Саратовские вести газета;maxim.a.artemov@gmail.com  sv.comdir@yandex.ru  savesti@yandex.ru  sv-dobro-saratov@yandex.ru  
Томское предместье газета;tomsk.predmestie@yandex.ru  
Гатчина-Инфо газета;oreol-reklama@mail.ru  
Трибуна газета;reklama-tribuna@mail.ru  tribuna.komi@gmail.com  
За большую Дегтярку газета;za_bol_deg@mail.ru  
Учительская газета;ug@ug.ru  info@kt-print.ru  kt-pretenzia@yandex.ru  reklama@ug.ru  ugazeta@bk.ru  
Все для вас Север газета;vdvsever@yandex.ru  9739310@gmail.com  gracheva-85@yandex.ru  jane82-82@mail.ru  galina-kiriyanova@yandex.ru  
Самый Сок журнал;reklama@samsok.ru  
Волгоградский АДВОКАТ юридическая газета;volgadvokat@mail.ru  
Вакансия от работодателя газета;vakansia74@mail.ru  ;
Камчатка Explorer журнал;mitia.kam-@mail.ru  lesnaya-paratunka@yandex.ru  lesnayabaz@yandex.ru  nelov86@mail.ru  nelav86@mail.ru  
Ваши ключи к здоровью газета;web@8doktorov.ru  zayavka@sokrsokr.net  
Ресторановедъ журнал;example@mail.ru  event@mediavibor.ru  podpiska@mediavibor.ru  kuznetsova@mediavibor.ru  pr@mediavibor.ru  
Коммерсантъ газета;l-partners@l-partners.ru  
Veter Magazine журнал;subscribe@veterproject.ru  ;
Вестник Государственной регистрации журнал;orenkredo@rambler.ru  orenkredo@mail.ru  ornkredo@rambler.ru  
Новодвинский рабочий газета;info@iddvina.ru  
Вестник агропромышленного комплекса журнал;imorozova@vostockcapital.com  j.frolova@ite-expo.ru  pr@investagro.kz  r.tasbulatov@kazagro.kz  
Неделя. Подмосковье газета;direct@oblnews.r
Сибирский еженедельник Реклама газета;pochta@sibreclama.ru  
Комбикорма журнал;red-kombikorma@yandex.ru  vicmkt@gmail.com  
Папарацци сетевое издание;anonymous@paparazzi.ru  
Транспорт РФ журнал;trfportal@gmail.com  
Пятиминутка журнал;stella-mm@yandex.ru  hegu@mail.ru  
Новое дело дагестанская еженедельная газета;n-delo@mail.ru  
Арамильский курьер газета;office.aramil@mail.ru  zenkova-n@yandex.ru  
Галерея красивых домов и квартир журнал;info@gorod.spb.ru  alena@gorod.spb.ru  vadimov@gmail.com  domiki@gorod.spb.ru  alex.shadov@gmail.com  
Pulse журнал;pulse.prime@mail.ru  
Правда Севера газета;petit-89@mail.ru  gazeta@sgaice.ru  ;
Право и защита журнал;info@pravo-mag.ru  
Дальнобойщик журнал;info@dbk.su  
Новороссийский рабочий газета;info@novorab.ru  reklama@novorab.ru  
Alma Mater газета;alma@mail.tsu.ru  
За изобилие газета;za-izobilie@mail.ru  
Московский Комсомолец в Ульяновске газета;info@mk.ru  ;
Бэбибум журнал для современных родителей;metelm@mail.ru  aliya_omsk@mail.ru  involux.omsk@gmail.com  
СВАDЬБА журнал;i.kazantseva@list.ru  accaunt_sva@mail.ru  
Вестник Балтийска газета;vestnik_balt@bk.ru  
Информационный вестник строителя журнал;tm@reg.ru  sales@mycompany.ru  user@example.ru  you@yourcompany.com  test@example.com  
Вне города журнал;vnegoroda@mail.ru  mail@vnegoroda.com  office@a-stu
Коммерсантъ-Сибирь газета;podpiska@kommersant.ru  academy@kommersant.ru  referent@kommersant-nsk.ru  morozova@kommersant-nsk.ru  pavlova@kommersant-nsk.ru  
Павлово-Посадские Известия газета;ppi-gazeta@mail.ru  
Правда Севера газета;info@pravdasevera.ru  portal@pravdasevera.ru  
Юлдаш Спутник газета;yuldash-sputnik@mail.ru  
Честное пенсионерское газета;pensionerskoe@mail.ru  
Шанс журнал;igumnova@unitmedia.ru  
Городок max еженедельная рекламно-информационная газета;gazeta-tiu@mail.ru  office@sk13.ru  
МИТ-инфо журнал;rusiti@bk.ru  
Super Свадьба журнал;supersvadba@mail.ru  
Зарплата в бюджетном учреждении журнал;support@action-media.ru  
Кто есть Кто в медицине журнал;isaeva@vrachirf.ru  contact@kto-kto.ru  ckprz@mail.ru  kovalev@znopr.ru  
Elle Girl журнал;info@hsmedia.ru  pbutuzova@hspub.ru  osvirina@hspub.ru  vpavlenko@hspub.ru  evoznesenskaya@hspub.ru  
SHOP & GO журнал;reklama@olmimedia.ru  fr@olmimedia.ru  
Амурская правда газета;novostiap@gmail.com  reklama@ampravda.ru  
Свеча газета;svecha_1992@mail.ru  
Факт общественно-политическая газета;gazetafakt@yandex.ru  gor-vestnik@yandex.ru  ma.dmitrieva@riamo.ru  
БСТ журнал;bstmag@co.ru  
Правда-ПФО интернет-газета;info@pravdapfo.ru  
За рулем журнал;ishop@tdzr.ru  gusevpetrx@gmail.com  
Гатчина Домашняя газета;bagistr@gmail.com  gat_home@mail.ru  
Сургутские ведомости газета;antropov@admsurgut.ru  sv@admsurgut.ru  melnichenko@admsurgut.ru  kurilova@admsurgut.ru  zed@admsurgut.ru  
Зарплата журнал;info@sq97.ru  status.qwo97@yandex.ru  
Челябинские епархиальные ведомости газета;eparhia74@mail.r
GL журнал;elenmak@mail.ru  surkova_oi@mail.ru  pr@gl-media.com  allnevermind@gmail.com  artdir@gl-media.com  
Рыбинские известия газета;info@gazeta-rybinsk.ru  reklama@gazeta-rybinsk.ru  
Котельники Сегодня газета;gazetakc@yandex.ru ;
Russian Journal of Physical Chemistry B: Focus on Physics журнал;jcp@chph.ras.ru  compmg@maik.ru  customerservice@springer.com  subscriptions@springer.com  
Сельская новь газета;gazeta.selnov@yandex.ru  
Экология журнал;ecology@ipae.uran.ru  compmg@maik.ru  
Ленинское знамя газета;svet-lz@mail.ru  hserov@yandex.ru  prezent6@yandex.ru  
Саха сирэ республиканская газета;edersaas@mail.ru  gazetasakhasire@mail.ru  
Премьер Эксперт деловой журнал;aida@1expert.ru  mail@kto-tlt.ru  
Вечерние Челны газета;vechorka@smi16.ru  v17@union.bancorp.ru  
К вашим услугам газета;lunarball@yandex.ru  
Панорама TV журнал;office@pantv.ru  
Рынок ценных бумаг журнал;zuzkevich@rcb.ru  ankol@rcb.ru  sec@rcb.ru  info@rcb.ru  corpcab@rcb.ru  
Идел-Идель журнал;idel-kazan@mail.ru  
Заря газета;zarya31@mail.ru  reklamazaria80@mail.ru  nina_neugodova@mail.ru  gmtaran@yandex.ru  nech.olga@yandex.ru  
МЫ|WE онлайн-журнал;journalwe@yandex.ru  konkurszsro@ya.ru  
Кан Чарас газета;golosv@list.ru  
Караван Ярмарка областной еженедельник;karavan@tvcom.ru  karavan@idtk.ru  
Подъём литературно-художественный журнал;podiem@mail.ru  podiemnve@yandex.ru  gleard@yandex.ru  podiem@rambler.ru  r.podiem@yandex.ru  
Сенеж газета;senezh2001@mail.ru  
МК в Питере газета;info@mk-piter.ru  
Красноярский рабочий газета;mother@if-site.com  mike@if-site.com  krasrab@krsn.ru  
Среднеуральская волна газета;73113@sugres.ru  
Алтайская миссия газета;alt.eparhia-press@ya.ru  
Удмуртская правда газета;samigulovaov@gmail.com  podpiska-up@yandex.ru  udmpravda@mail.ru  pletenewa-up@yandex.ru  news-udmpravda@yandex.ru  
Кто строит в Петербурге газета;info@ktostroit.ru  support@gu.spb.ru  vopros@gov.spb.ru  nao@ktostroit.ru  tech@ktostroit.ru  
Тульский Бизнес-журнал;kondrashina@b-mag.ru  info@b-mag71.ru  stepuninan@gmail.com  antara_tula@mail.ru  
Крошка журнал;kazank@bk.ru  
Наша школа. Чеченская Республика;shcool-2010@mail.ru  ;
Физиология растений журнал;fizrast@mail.ru  
Волжские вести-Юл увер информационное агентство;yuluver@yandex.ru  ;
Наш город газета;info@ng58.ru  
Вперёд Химки газета;vpred@mail.ru  
ВСЕ ДЛЯ ВАС газета;vdv@vdvkomi.ru  vdvkomi@gmail.com  vladimir@vdvkomi.ru  direktor@vdvkomi.ru  obyavlenie@gmail.com  
Коммунар газета;org@tobehero.ru  
Правосудие в Татарстане журнал;aivlev@gmail.com  opi@usdrt.ru  
Курорт Белокуриха газета;rkb-post@yandex.ru  
Краснообск газета;krasnoobsk@gmail.com  
Орская газета;470032@mail.ru  ;
Знамя Труда газета;zt200772@mail.ru  325981@mail.ru  
Алтайдын Чолмоны газета;cholmon@inbox.ru  
Хлебопродукты журнал;khleb@khlebprod.ru  petrichenko@wjtraid.ru  blt@narod.ru  
Толпар газета;tolpar-info@mail.ru  
Pro глянцевый журнал;info@mediapro26.ru  prokmv26@mail.ru  
Gaudeamus газета;moscow@gaude.ru  redaktor@gaude.ru  oleg@gaude.ru  editor@gaude.ru  
Призыв газета;prizyvkrimsk@mail.ru  
Мясной ряд журнал;milk@meat-milk.ru  info@metalguimia.com  promkomplekt_plus@rambler.ru  info@moltara.com  puma@slavich.ru  
Златоустовский металлург газета;officezmk@zmk.ru  
Золотая горка газета;gorka-info@rambler.ru  tir@zg66.ru  rek@zg66.ru  karman@zg66.ru  
Достойная газета;dreklama@ngs.ru  dredakt@ngs.ru  ;
Гастрономъ журнал;info@gastronom.ru  
Уголь Кузбасса федеральный отраслевой журнал;rgkemerovo@yandex.ru  uk42@mail.ru  valerirg@yandex.ru  
Медицинский вестник Башкортостана журнал;mvb_bsmu@mail.ru  
Ажур-НН журнал;bknn@mail.ru  
Бердэмлек газета;matbugat@mail.ru  
Дом & Интерьер журнал;nrodkina@dominterier.ru  
Авиатранспортное обозрение журнал;advert@ato.ru  
Пригород журнал;info@vprigorode.ru  
Псковская губерния газета;pskovjournal@yandex.ru  gubernia@pskovregion.org  
Стратегия журнал;info@strategyjournal.ru  
Качественная клиническая практика журнал;clinvest@mail.ru  
Республика газета;respublika-21@yandex.ru  dziudek@gavick.com  pg@pnp.ru  webmaster@duma.gov.ru  gs@cap.ru  
Самарская газета;klsamara25@gmail.com  v.zimnukov@ks-samara.com  komarova7.73@mail.ru  irinav@sgpress.ru  info@sgpress.ru  
Борские объявления газета;borobyav@yandex.ru  
Теория и практика физической культуры журнал;fizkult@teoriya.ru  mail@publicet.org  chelovek@newmail.ru  chelovek.kolomna@mail.ru  vekanazmut80@mail.ru  
Точная карта. Красноярск газета;2955307@mail.ru  
Медитех журнал;mednavigator.rf@gmail.com  mak@vladbmt.ru  754979@mail.ru  leonardo-co@yandex.ru  info@medserv.ru  
Иркутск газета;reklama@mauirk.ru  
Волжская коммуна газета;vk@vkonline.ru  reklama@vkonline.ru  
Линия полета журнал;web@spblp.ru  
Вечерний Братск газета;gazetavb@gmail.com  gazetavb@rambler.ru  
National Business журнал для руководителей нового поколения;info@nb-ugra.ru  dir@banzay.ru  region@banzay.ru  podpiska@banzay.ru  
Уралым газета;uralym74@mail.ru  asdx@list.ru  ;
Хозяйство и право журнал;hozpravo@sovintel.ru  
Ufaved.info городская электронная газета;krechet83@mail.ru  krosh1969@list.ru  
Промышленное оборудование журнал;partner@prompages.ru  
Здоровье журнал;web@zdr.ru  
Проблемы анализа риска журнал;info@asergroup.ru  info@dialogmanag.com  
Голос профсоюзов газета;yar.sorokina@yandex.ru  
Шиловский вестник газета;redvest@shilovo.ryazan.ru  
Защита и безопасность журнал;zib97@mail.ru  
Элитный квартал журнал;chudinova@elitniy.ru  boronenkova@elitniy.ru  deryabina@elitniy.ru  reclama@elitniy.ru  info@elitniy.ru  
Обогащение руд журнал;reklama@rudmet.ru  gornjournal@rudmet.ru  tsvetmet@rudmet.ru  chermet@rudmet.ru  print@rudmet.ru  
Аргументы и Факты-Камчатка газета;autotravel@aif.ru  happy@bf-galchonok.ru  
Известия ВУЗов. Цветная металлургия журнал;izv.vuz@misis.ru  info@kalvis.ru  podpiska@kalvis.ru  ecip1996@yandex.ru  ctls@kalvis.ru  
Логистика журнал;sales@mg-agency.com  
Мы-родители! журнал;editor@mi-roditeli.com  j.boltunova@mail.ru  info@mi-roditeli.com  
Радуга газета;samaryanka@mail.ru  
Вестник профсоюзов Ставрополья краевая профсоюзная газета;sovprof@list.ru  balabanova-fpsk@list.ru  sprofapk@narod.ru  shiyanov@szn.apns.stavregion.ru  cs_fpsk_budennovsk@mail.ru  
Деловая Россия: промышленность транспорт социальная жизнь журнал;press@delruss.ru  info@ensoenergy.org  sharifullin@yugcont.ru  manager6@yugcont.ru  manager2@yugcont.ru  
Мобильные телекоммуникации журнал;secretar@profi-press.ru  lonshakova.e@docsvision.com  
Бронницкие новости газета;bntv@mail.ru  reklama-bntv@yandex.ru.ru  reklama-bntv@yandex.ru  
Волгоградская правда газета;id-vpravda@ya.ru  
Городской Ритм газета;troitskinform@mail.ru  
Радио журнал;webmaster@radio.ru  
Рейс журнал;dp@zr.ru  sales@zr.ru  kouzmenko@zr.ru  kopotov@zr.ru  a.kouzmenko@zr.ru  
Абакан журнал;deti@abakan-news.ru  
Сельская новь газета;ust-laba@list.ru  
Областная Рязанская Газета;gazeta62@mail.ru  rg62info@yandex.ru  
ИРР13 газета;info@irr13.ru  info@baskon163.ru  empress-13@mail.ru  tasha.lna55@mail.ru  expert_84@mail.ru  
Обсерватория культуры журнал;observatoria@rsl.ru  
ПроГород Самара газета;progorodsamara@progorodsamara.ru  nikita.g@progorodsamara.ru  
Районные вести газета;rayvesti22reklama@bk.ru  
Кузов журнал;info@kuzov-media.ru  adv@kuzov-media.ru  a.voynov@kuzov-media.ru  
Действие газета;deystvye@yandex.ru  ;
Галерея издательский дом;gb@gallerybeauty.ru  
Новый Оборонный Заказ. Стратегии журнал;avg@dfnc.ru  dfnc6@mail.ru  
Северная правда газета;sev.pravda@yandex.ru  
Главбух журнал;info@sba-consult.ru  
Пятигорская правда газета;sales.pravda-kmv@mail.ru  pravda@kmv.ru  dusshor4pyat@mail.ru  
Horeca magazine журнал;info@horeca.ru  mz@horeca.ru  at@horeca.ru  slowfood@commgroup.ru  
Лесная индустрия журнал;hq@lesindustry.ru  
Городские вести газета;pressa@talentrussia.ru  
Карелия газета;bastion@karelia.ru  reklama@karelia.ru  ;
Ремонт в Москве специализированная газета;reclama2006@mail.ru  
Бизнес-информатика журнал;bijournal@hse.ru  tkravchenko@hse.ru  sbruskin@hse.ru  anbiryukov@fa.ru  yuri.zelenkov@gmail.com  
Губернские Ведомости газета;semenchik@skr.su  lenta@skr.su  
Петрозаводский университет газета;licey1991@gmail.com  
Здравствуйте plus газета;socialinfo@ya.ru  
Московский комсомолец газета;mkaltay@mail.ru  info@mk.ru  ;
Приморье журнал;mitrofan.zharikov@gmail.com  
Вестник гражданских инженеров журнал;vestnikspb@mail.ru  
Доктор.ру журнал;med@rusmg.ru  
Вечерний Ставрополь газета;reclama_vs@mail.ru  manin@vechorka.ru  sowa12@mail.ru  tokorkina@vechorka.ru  lara@vechorka.ru  
Business Traveller журнал;reservations.moscow@lhw.com  
Московский комсомолец Байкал газета;mkbaikal@irkutsk.ru  katyafleur@yandex.ru  
ТВР-Панорама газета;novosti@ptzgovorit.ru  
Аккредитация в образовании журнал;press@akvobr.ru  
Знамя труда газета;-gazeta.zt@yandex.ru  gazeta.zt@yandex.ru  
Балет журнал;other_sight@softhome.net  mail@russianballet.ru  public@akc.ru  
Вестник Строительство. Архитектура. Инфраструктура журнал;pr@centrvk.ru  forum@bebrand.ru  rostov@groupaem.ru  k.demskaya@sochi-expo.ru  info@ideuromedia.ru  
Вузовский вестник газета;info@vuzvestnik.ru  
Независимый психиатрический журнал;npz@folium.ru  
Упрочняющие технологии и покрытия журнал;realiz@mashin.ru  mashpubl@mashin.ru  
Business Excellence журнал;editor_site@mirq.ru  
Astronomy Reports журнал;compmg@maik.ru  customerservice@springer.com  subscriptions@springer.com  
СФЕРА Нефть и Газ журнал;info@s-ng.ru  
Шанс газета;abakan999@mail.ru  gazetabox@gmail.com  vadim@shans-online.ru  nichkova88@mail.ru  bakan999@mail.ru  
Барвиха газета;b-barviha@ya.ru  
Авангард редакция газеты;gazetaavangard@rambler.ru  
Консультант налогоплательщика журнал;konsulnalog@yandex.ru  
Материалы электронной техники журнал;met.misis@inbox.ru  ;
Инновации в образовании журнал;exp@muh.ru  
Новгород газета;newspaper_nov@list.ru  
Маслянинский льновод журнал;info@reg.ru  sales@site.ru  
Календарь в Самаре газета;izdatelstvo@id-semenov.ru  
Арматуростроение журнал;chief-editor@npa-arm.org  editor@valve-industry.ru  karlo1208@yandex.ru  pushkarskaja@mail.ru  armaturostroenie@mail.ru  
Капитал журнал;rppoffice@admirk.ru  rapsinews2014@gmail.com  gvozd@irmail.ru  irkmotor@mail.ru  irkutsk@ombudsmanbiz.ru  
Ногтевой сервис журнал;alia@cosmopress.ru  am@cosmopress.ru  zinych@cosmopress.ru  emel@cosmopress.ru  info@cosmopress.ru  
Луч журнал;lit-luch@mail.ru  pavloid@udmnet.ru  
Инфограмма газета;mail@infogramma.ru  yit-dom@yit-dom.ru  megaron_info@mail.ru  an-oblast@yandex.ru  garant.ag@yandex.ru  
Российская оториноларингология журнал;tulkin19@mail.ru  tulkin@pfco.ru  
StarHit журнал;info@hsmedia.ru  
Строим с нами газета о строительстве;info@snami62.ru  
Все для вас журнал;561613@mail.ru  
Земля газета;zemlya_chita@mail.ru  anti-insult@mail.ru  reklama_zemlya@mail.ru  
Счастливый случай газета;my@redbrush.ru  
Цены Братска журнал;gazetavb@gmail.com  3acenybr@gmail.com  cenybr@gmail.com  gazetavb@rambler.ru  ;
Центр газета;red@mgcentr.ru  
Комсомольская Правда газета;33kp@phkp.ru  kp@kp.ru  
Липецкая спортивная газета;tirage@pressa.lipetsk.ru  sport@pressa.lipetsk.ru  sport@lpaper.ru  
